Acanthaceae,Staurogyne eustachya,Lindau,FOD/
Acanthaceae,Staurogyne sylvatica,Lindau ex Braz & R.Monteiro,FOD/
Acanthaceae,Stenandrium mandioccanum,Nees,FOD/
Acanthaceae,Stenandrium tenellum,Nees,FOD/
Acanthaceae,Ruellia devosiana,Jacob-Makoy ex E.Morren,FOD/
Acanthaceae,Asystasia gangetica,(L.) T.Anderson,Restinga/
Acanthaceae,Justicia pectoralis,Jacq.,FOD/
Acanthaceae,Justicia cydoniifolia,(Nees) Lindau,FOD/
Acanthaceae,Ruellia angustiflora,(Nees) Lindau ex Rambo,FOD/
Acanthaceae,Ruellia dissitifolia,(Nees) Hiern,C.Limpo/
Acanthaceae,Ruellia hypericoides,(Nees) Lindau,C.Limpo/
Acanthaceae,Avicennia schaueriana,Stapf & Leechm. ex Moldenke,Restinga/
Acanthaceae,Hygrophila guianensis,Nees ex Benth.,FOD/
Acanthaceae,Justicia laevilinguis,(Nees) Lindau,C.Limpo/FOD/
Acanthaceae,Ruellia squarrosa,(Fenzl & Benseler) Schaffnit,FOD/
Acanthaceae,Avicennia germinans,(L.) L.,Restinga/
Acanthaceae,Poikilacanthus glandulosus,(Nees) Ariza,FOD/
Acanthaceae,Ruellia simplex,C.Wright,FOD/Restinga/
Acanthaceae,Ruellia morongii,Britton,C.Limpo/
Acanthaceae,Dyschoriste tweediana,(Nees) Kuntze,C.Limpo/
Acanthaceae,Stenandrium dulce,(Cav.) Nees,C.Limpo/
Acanthaceae,Justicia hatschbachii,(Rizzini) Wassh. & L.B.Sm.,FOD/
Acanthaceae,Justicia bullata,(Nees) Profice,FOD/
Acanthaceae,Justicia parabolica,(Nees) Profice,FOD/
Acanthaceae,Schaueria capitata,Nees,Restinga/
Acanthaceae,Schaueria paranaensis,(Rizz.) A.L.A. Côrtes,FOD/
Acanthaceae,Justicia dusenii,(Lindau) Wassh. & L.B.Sm.,FOD/
Acanthaceae,Pachystachys dubiosa,(Lindau) A.L.A.Côrtes,FOD/
Adoxaceae,Sambucus australis,Cham. & Schltdl.,FOD/Restinga/
Aizoaceae,Sesuvium portulacastrum,(L.) L.,C.Limpo/Restinga/
Aizoaceae,Tetragonia tetragonoides,(Pall.) Kuntze,Restinga/
Aizoaceae,Carpobrotus edulis,(L) N.E.Br.,Restinga/
Alstroemeriaceae,Alstroemeria amabilis,M.C.Assis,C.Altitude/
Alstroemeriaceae,Alstroemeria cunha,Vell.,C.Altitude/FOD/
Alstroemeriaceae,Alstroemeria inodora,Herb.,FOD/
Alstroemeriaceae,Alstroemeria isabelleana,Herb.,C.Altitude/C.Limpo/FOD/
Alstroemeriaceae,Alstroemeria psittacina,Lehm.,C.Limpo/
Alstroemeriaceae,Alstroemeria sellowiana,Seub. ex Schenk,C.Altitude/
Alstroemeriaceae,Bomarea edulis,(Tussac) Herb.,FOD/Restinga/
Amaranthaceae,Alternanthera tenella,Colla,C.Limpo/FOD/Restinga/
Amaranthaceae,Celosia grandifolia,Moq.,C.Limpo/FOD/
